"New Path","Original Source","Usage Category","Alt Text","Original Pages","Notes"
"/images/heroes/devices-hero-new-min.png","wp-content/uploads/devices-hero-new-min.png","Hero / Banner","Able Assess on multiple devices","Solutions pages","Multi-device hero shot"
"/images/heroes/parallax-image-1-min.jpg","wp-content/uploads/parallax-image-1-min.jpg","Hero / Banner","Parallax background - care setting 1","Homepage","Parallax scroll background"
"/images/heroes/parallax-image-2-min.jpg","wp-content/uploads/parallax-image-2-min.jpg","Hero / Banner","Parallax background - care setting 2","Homepage","Parallax scroll background"
"/images/blog/able-assess-fall-risk-screening.jpg","wp-content/uploads/able-assess-fall-risk-screening.jpg","Blog / Editorial","Staff member helping a woman use a hand dynamometer, Able Assess fall risk screening","Blog listing, Resources","Blog featured image - fall risk screening"
"/images/blog/fall-risk-assessment-tool.jpg","wp-content/uploads/fall-risk-assessment-tool.jpg","Blog / Editorial","Falls risk assessment tool in use","Blog (falls risk assessment article)","Blog featured image - assessment tool"
"/images/blog/older-adults-fall-risk-next-steps.png","wp-content/uploads/older-adults-fall-risk-next-steps.png","Blog / Editorial","Woman in a clinic using a tablet and hand dynamometer, next steps for older adults flagged as a fall risk","Blog listing, Resources","Blog featured image - next steps article"
"/images/blog/pharma-research.png","wp-content/uploads/pharma-research.png","Blog / Editorial","Pharmaceutical research setting","Blog (pharma and CROs article)","Blog featured image - pharma"
"/images/team/dr-mike-mace.jpg","wp-content/uploads/dr-mike-mace.jpg","Team / Headshot","Dr Mike Mace","Meet the Team","Team member headshot"
"/images/team/dr-paul-rinne.jpg","wp-content/uploads/dr-paul-rinne.jpg","Team / Headshot","Dr Paul Rinne, Co-Founder and CTO","Meet the Team, Author pages","Team member headshot - co-founder"
"/images/team/Woman-Gray-Hair-at-Table-with-Therapist-Achievements-1-1-1.png","wp-content/uploads/Woman-Gray-Hair-at-Table-with-Therapist-Achievements-1-1-1.png","Team / Headshot","Woman with gray hair at table with therapist","About page","Clinical setting - therapist interaction"
"/images/badges/apta-dhpp-badge-darker-shadow-min.png","wp-content/uploads/apta-dhpp-badge-darker-shadow-min.png","Trust / Certification","APTA Digital Health Product Partner badge","All pages (sidebar)","Certification badge"
"/images/badges/gdpr-trimmed-min.png","wp-content/uploads/gdpr-trimmed-min.png","Trust / Certification","GDPR Compliant","Trust bar","Certification badge"
"/images/badges/one-trust.jpeg","wp-content/uploads/one-trust.jpeg","Trust / Certification","OneTrust verified","Trust bar","Privacy certification"
"/images/badges/app-store-badge.svg","wp-content/uploads/app-store-badge.svg","Trust / Certification","Download on the App Store","Homepage, Solutions","App store download badge"
"/images/badges/google-play-badge.svg","wp-content/uploads/google-play-badge.svg","Trust / Certification","Get it on Google Play","Homepage, Solutions","Play store download badge"
"/images/badges/fda-trimmed.svg","wp-content/uploads/fda-trimmed.svg","Trust / Certification","FDA Listed","Trust bar","Regulatory badge"
"/images/badges/ce-4.svg","wp-content/uploads/ce-4.svg","Trust / Certification","CE Marked","Trust bar","Regulatory badge"
"/images/badges/hipaa-trimmed.svg","wp-content/uploads/hipaa-trimmed.svg","Trust / Certification","HIPAA Aligned","Trust bar","Compliance badge"
"/images/badges/iso-31.svg","wp-content/uploads/iso-31.svg","Trust / Certification","ISO 27001","Trust bar","Certification badge"
"/images/badges/iso-iec-27001-mark-of-trust.png","themes/able-care-v3-4/assets/images/mark-of-trust-certified-ISOIEC-27001.png","Trust / Certification","ISO/IEC 27001 Certified - Mark of Trust","All pages (sidebar)","BSI mark of trust certification"
"/images/features/health-data-platform-min.png","wp-content/uploads/health-data-platform-min.png","Feature / Platform","Health data platform dashboard","Solutions pages","Platform UI screenshot"
"/images/features/health-care-payers-providers.png","wp-content/uploads/health-care-payers-providers.png","Feature / Platform","Healthcare payers and providers","Solutions pages","Payer/provider illustration"
"/images/features/Able-Care-Product-Continuum-2-min.png","wp-content/uploads/Able-Care-Product-Continuum-2-min.png","Feature / Platform","Able Care product continuum","About page","Product range diagram"
"/images/features/phone-trimmed-min.png","wp-content/uploads/phone-trimmed-min.png","Feature / Platform","Able Assess on phone","Solutions pages","Mobile app screenshot"
"/images/features/holding-hands-solid-bg-min.jpg","wp-content/uploads/holding-hands-solid-bg-min.jpg","Feature / Platform","Holding hands - care relationship","About page","Emotional care imagery"
"/images/features/grip-strength-metrics-logos-min.png","wp-content/uploads/grip-strength-metrics-logos-min.png","Feature / Platform","Grip strength metrics and partner logos","Solutions pages","Metrics visualization"
"/images/features/payers-icon-min.png","wp-content/uploads/payers-icon-min.png","Feature / Platform","Payers icon","Solutions pages","Icon for payer section"
"/images/icons/cogs-icon.svg","wp-content/uploads/cogs-icon.svg","Icon","Settings/configuration icon","Solutions pages","Feature icon"
"/images/icons/cycle-icon.svg","wp-content/uploads/cycle-icon.svg","Icon","Cycle/refresh icon","Solutions pages","Feature icon"
"/images/icons/doc-icon.png","wp-content/uploads/doc-icon.png","Icon","Document icon","Solutions pages","Feature icon"
"/images/icons/handshake-icon.svg","wp-content/uploads/handshake-icon.svg","Icon","Partnership/handshake icon","Solutions pages","Feature icon"
"/images/icons/heart-icon.svg","wp-content/uploads/heart-icon.svg","Icon","Health/heart icon","Solutions pages","Feature icon"
"/images/icons/rocket-icon.svg","wp-content/uploads/rocket-icon.svg","Icon","Launch/rocket icon","Solutions pages","Feature icon"
"/images/icons/thermo-icon.png","wp-content/uploads/thermo-icon.png","Icon","Thermometer icon","Solutions pages","Feature icon"
"/images/icons/telephone-icon.svg","wp-content/uploads/telephone-icon.svg","Icon","Telephone icon","Contact page","Contact icon"
"/images/editorial/social-media-post-v1.jpg","wp-content/uploads/social-media-post-v1.jpg","Editorial Image","Able Care social media post v1","Resources page","Social proof / marketing"
"/images/editorial/social-media-post-v2.jpg","wp-content/uploads/social-media-post-v2.jpg","Editorial Image","Able Care social media post v2","Resources page","Social proof / marketing"
"/images/editorial/social-media-post-v3.jpg","wp-content/uploads/social-media-post-v3.jpg","Editorial Image","Able Care social media post v3","Resources page","Social proof / marketing"
"/images/editorial/social-media-post-v4.jpg","wp-content/uploads/social-media-post-v4.jpg","Editorial Image","Able Care social media post v4","Resources page","Social proof / marketing"
"/images/editorial/social-media-post-v5.jpg","wp-content/uploads/social-media-post-v5.jpg","Editorial Image","Able Care social media post v5","Resources page","Social proof / marketing"
"/images/editorial/social-media-post-v6.jpg","wp-content/uploads/social-media-post-v6.jpg","Editorial Image","Able Care social media post v6","Resources page","Social proof / marketing"
"/images/logos/caring-hands-caregivers.png","wp-content/uploads/caring-hands-caregivers.png","Partner Logo","Caring Hands Caregivers","Homepage, About, Solutions","Partner logo"
"/images/logos/consonus.png","wp-content/uploads/consonus.png","Partner Logo","Consonus","Homepage, About, Solutions","Partner logo"
"/images/logos/cypress-homecare-solutions.png","wp-content/uploads/cypress-homecare-solutions.png","Partner Logo","Cypress Homecare Solutions","Homepage, About, Solutions","Partner logo"
"/images/logos/eskaton.png","wp-content/uploads/eskaton.png","Partner Logo","Eskaton","Homepage, About, Solutions","Partner logo"
"/images/logos/harvard-medical-school.png","wp-content/uploads/harvard-medical-school.png","Partner Logo","Harvard Medical School","Homepage, About, Solutions","Institutional partner logo"
"/images/logos/imperial-college-NHS-trust.png","wp-content/uploads/imperial-college-NHS-trust.png","Partner Logo","Imperial College NHS Trust","Homepage, About, Solutions","Institutional partner logo"
"/images/logos/johns-hopkins-medicine.png","wp-content/uploads/johns-hopkins-medicine.png","Partner Logo","Johns Hopkins Medicine","Homepage, About, Solutions","Institutional partner logo"
"/images/logos/massachusetts-general-hospital.png","wp-content/uploads/massachusetts-general-hospital.png","Partner Logo","Massachusetts General Hospital","Homepage, About, Solutions","Institutional partner logo"
"/images/logos/md-anderson.png","wp-content/uploads/md-anderson.png","Partner Logo","MD Anderson Cancer Center","Homepage, About, Solutions","Institutional partner logo"
"/images/logos/mt-sinai.png","wp-content/uploads/mt-sinai.png","Partner Logo","Mount Sinai","Homepage, About, Solutions","Institutional partner logo"
"/images/logos/right-at-home.png","wp-content/uploads/right-at-home.png","Partner Logo","Right at Home","Homepage, About, Solutions","Partner logo"
"/images/logos/shore-homecare-services.png","wp-content/uploads/shore-homecare-services.png","Partner Logo","Shore Homecare Services","Homepage, About, Solutions","Partner logo"
"/images/logos/university-of-oxford.png","wp-content/uploads/university-of-oxford.png","Partner Logo","University of Oxford","Homepage, About, Solutions","Institutional partner logo"
"/images/logos/us-physical-therapy.png","wp-content/uploads/us-physical-therapy.png","Partner Logo","US Physical Therapy","Homepage, About, Solutions","Partner logo"
"/images/logo.png","wp-content/uploads/logo.png","Logo","Able Care logo","All pages","Main brand logo"
"/images/able-care-logo.png","(new site original)","Logo","Able Care logo","All pages","Brand logo variant"
"/images/devices-hero.png","(new site original)","Hero / Banner","Able Assess on devices","Homepage","Existing new site hero"
"/images/features-image.png","(new site original)","Feature / Platform","Able Assess features overview","Homepage","Existing new site feature"
"/images/gripable-in-hand.png","(new site original)","Product / Device","GripAble sensor in hand","Solutions","Existing new site product shot"
"/images/gripable-sensor.png","(new site original)","Product / Device","GripAble sensor","Solutions","Existing new site product shot"
"/images/laptop-sensor.png","(new site original)","Product / Device","Laptop with GripAble sensor","Solutions","Existing new site product shot"
"/images/apta-badge.png","(new site original)","Trust / Certification","APTA badge","Trust bar","Existing new site badge"
"/images/apta-dhpp-badge.png","(new site original)","Trust / Certification","APTA DHPP badge","Trust bar","Existing new site badge"
"/images/iso-27001-badge.png","(new site original)","Trust / Certification","ISO 27001 badge","Trust bar","Existing new site badge"
"/images/partner-badge.png","(new site original)","Trust / Certification","Partner badge","Trust bar","Existing new site badge"
